nodo,parada,modo,grado,intermediacion,cercania,pagerank
crtm_red_transporte_madrid:155,O Donnell - Maiquez,emt,2,0.04311,0.0676,0.000239
crtm_red_transporte_madrid:2416,Juan Herrera,emt,4,0.04307,0.0465,0.000491
crtm_red_transporte_madrid:3686,O Donnell - Retiro,emt,3,0.04301,0.0669,0.000336
crtm_red_transporte_madrid:157,O Donnell - Narváez,emt,2,0.04297,0.0667,0.000246
crtm_red_transporte_madrid:1571,Estrecho,emt,5,0.04296,0.0567,0.000562
crtm_red_transporte_madrid:77,Neptuno,emt,8,0.04205,0.0627,0.000853
crtm_red_transporte_madrid:1408,Pacífico,emt,4,0.04107,0.0623,0.000416
crtm_red_transporte_madrid:1404,Metro Menéndez Pelayo,emt,4,0.04088,0.0614,0.000419
crtm_red_transporte_madrid:2484,Avenida De Canillejas - Albaida,emt,4,0.04064,0.0576,0.000452
crtm_red_transporte_madrid:170,Gran Vía - Plaza De España,emt,4,0.04044,0.0566,0.000417
crtm_red_transporte_madrid:4295,Puente De Los Franceses,emt,2,0.04034,0.0449,0.000259
crtm_red_transporte_madrid:172,Ventura Rodríguez,emt,4,0.04032,0.0514,0.000502
crtm_red_transporte_madrid:3353,Mediterráneo - Pablo Neruda,emt,4,0.04017,0.0524,0.000476
crtm_red_transporte_madrid:79,Museo Del Prado - Jardín Botánico,emt,2,0.03979,0.0642,0.000228
crtm_red_transporte_madrid:9,Gran Vía - Callao,emt,2,0.03944,0.0581,0.000259
crtm_red_transporte_madrid:1947,Junta Municipal Usera,emt,5,0.03899,0.0512,0.000582
crtm_red_transporte_madrid:283,Gran Vía - Plaza De España,emt,2,0.03895,0.0548,0.000273
crtm_red_transporte_madrid:2612,Mediterráneo - Democracia,emt,4,0.03889,0.0499,0.000482
crtm_red_transporte_madrid:1750,Plaza De España,emt,2,0.03852,0.0529,0.000274
crtm_red_transporte_madrid:2429,Marcelo Usera - Rafaela Ybarra,emt,2,0.03839,0.0534,0.000245
crtm_red_transporte_madrid:414,Plaza De Cataluña,emt,5,0.03753,0.0554,0.000564
